BMS,battery charging,battery mode,battery level,battery health,current,power,temperature,voltage,cycle capacity,cycles,delta voltage,problem,runtime,balancer,balance current,cell count,cell voltages,cycle charge,total charge,design capacity,pack count,temp sensors,temp values,problem code,chrg mosfet,dischrg mosfet,heater,pack voltages,pack currents,pack battery levels,pack battery health,pack cycles
Pro BMS (Smart Shunt),.,,✓,,✓,✓,.,✓,.,,,.,.,,,,,✓,,,,,✓,✓,,,,,,,,
Redodo (Bluetooth battery),.,,✓,✓,✓,.,.,✓,.,✓,.,.,.,✓,,.,✓,✓,,✓,,✓,✓,✓,,,✓,,,,,
Renogy (BT battery pro),.,,.,,✓,.,,✓,.,✓,,.,.,,,,,✓,,✓,,,,,,,,,,,,
Renogy (Bluetooth battery),.,,.,,✓,.,.,✓,.,✓,.,.,.,,,✓,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,,,,,
RoyPow (smart BMS),.,,✓,,✓,.,.,✓,.,✓,.,.,✓,,,.,✓,✓,,,,✓,✓,✓,✓,✓,,,,,,
Seplos (smart BMS V2),.,,✓,✓,✓,.,.,✓,.,✓,.,.,.,✓,,✓,✓,✓,,,✓,✓,✓,✓,✓,✓,✓,,,,,
Seplos (smart BMS V3),.,,✓,✓,✓,.,✓,✓,.,✓,✓,.,.,✓,,✓,,✓,,,✓,,,✓,✓,✓,✓,✓,✓,✓,✓,✓
Shenzhen Saihang Technology (Anenji),.,,✓,✓,✓,.,.,✓,.,✓,.,.,.,,,✓,✓,✓,,✓,,✓,✓,,,,,,,,,
Super-B (Epsilon v2),.,,✓,✓,✓,.,,✓,,✓,,.,✓,,,,,,,,,,,,,,,,,,,
Super-B (Epsilon),.,,✓,✓,✓,.,,✓,,,,.,✓,✓,,,,,,,,,,✓,,,,,,,,
TDT (smart BMS),.,,✓,,✓,.,.,✓,.,✓,.,.,.,,,✓,✓,✓,,,,✓,✓,✓,✓,✓,,,,,,
TianPwr (smart BMS),.,,✓,✓,✓,.,.,✓,.,✓,.,.,.,✓,,✓,✓,✓,,✓,,✓,✓,✓,✓,✓,,,,,,
Topband (smart BMS),.,,✓,,✓,.,.,✓,.,✓,.,.,.,,,.,✓,✓,,,,,✓,✓,,,,,,,,
Vatrer (smart BMS),.,,✓,✓,✓,.,.,✓,.,✓,✓,✓,.,✓,,✓,✓,✓,,,,✓,✓,,✓,✓,,,,,,
Wattstunde (Nova Core),.,,✓,,✓,.,.,✓,.,✓,.,.,.,,,.,✓,✓,,✓,,,✓,✓,,,✓,,,,,
